년월,LineaSpeed [km/s],MPA [deg],흑점수
1996-01,333.5,91.83333333333333,3.8333333333333335
1996-02,246.6,93.0,2.4
1996-03,194.69230769230768,91.3076923076923,12.153846153846153
1996-04,237.07142857142858,97.07142857142857,4.857142857142857
1996-05,313.90909090909093,87.54545454545455,7.636363636363637
1996-06,240.28571428571428,90.14285714285714,15.0
1996-07,381.375,101.0,14.25
1996-08,409.9230769230769,117.0,20.23076923076923
1996-09,248.46666666666667,91.0,3.466666666666667
1996-10,298.25,91.0,0.875
1996-11,369.94444444444446,87.16666666666667,26.11111111111111
1996-12,273.1363636363636,94.31818181818181,15.772727272727273
1997-01,203.06666666666666,97.4,6.6
1997-02,281.5625,90.4375,16.0625
1997-03,269.6,83.4,12.266666666666667
1997-04,438.9375,96.1875,24.75
1997-05,354.3636363636364,92.13636363636364,24.818181818181817
1997-06,279.3181818181818,89.31818181818181,19.681818181818183
1997-07,291.95,88.6,11.3
1997-08,271.65,87.3,39.0
1997-09,459.05882352941177,102.58823529411765,57.294117647058826
1997-10,439.4782608695652,100.17391304347827,32.04347826086956
1997-11,528.9583333333334,99.20833333333333,51.458333333333336
1997-12,342.4347826086956,94.08695652173913,57.78260869565217
1998-01,451.4642857142857,91.92857142857143,45.642857142857146
1998-02,467.74074074074076,102.74074074074075,51.074074074074076
1998-03,518.6428571428571,109.96428571428571,83.82142857142857
1998-04,702.7586206896551,109.06896551724138,72.41379310344827
1998-05,712.9310344827586,107.62068965517241,73.62068965517241
1998-06,738.0833333333334,132.25,82.45833333333333
1998-10,534.5454545454545,104.72727272727273,62.45454545454545
1998-11,678.578947368421,132.68421052631578,108.10526315789474
1998-12,605.2222222222222,117.83333333333333,121.88888888888889
1999-02,654.8888888888889,125.05555555555556,90.38888888888889
1999-03,656.9230769230769,127.0,96.11538461538461
1999-04,649.9310344827586,112.48275862068965,94.0
1999-05,683.1724137931035,100.51724137931035,150.31034482758622
1999-06,848.4642857142857,105.64285714285714,212.5
1999-07,657.2903225806451,109.64516129032258,173.51612903225808
1999-08,688.4,128.56666666666666,143.66666666666666
1999-09,919.2916666666666,121.20833333333333,114.95833333333333
1999-10,728.12,112.28,180.48
1999-11,631.95,123.55,182.75
1999-12,587.68,117.4,115.28
2000-01,733.9230769230769,132.69230769230768,136.46153846153845
2000-02,767.6551724137931,141.79310344827587,165.6551724137931
2000-03,727.7931034482758,141.86206896551724,212.72413793103448
2000-04,696.4,144.0,191.5
2000-05,934.1666666666666,145.43333333333334,162.83333333333334
2000-06,800.9,133.93333333333334,188.03333333333333
2000-07,917.8620689655172,139.82758620689654,237.72413793103448
2000-08,696.7096774193549,131.67741935483872,180.4516129032258
2000-09,700.6,142.13333333333333,156.03333333333333
2000-10,683.1785714285714,136.35714285714286,141.53571428571428
2000-11,840.2142857142857,133.46428571428572,155.60714285714286
2000-12,616.7586206896551,127.55172413793103,142.51724137931035
2001-01,636.1428571428571,129.64285714285714,145.85714285714286
2001-02,582.76,122.32,123.32
2001-03,699.2903225806451,142.61290322580646,165.80645161290323
2001-04,1167.2,135.16666666666666,161.7
2001-05,776.5666666666667,142.26666666666668,140.26666666666668
2001-06,883.3703703703703,125.18518518518519,212.7037037037037
2001-07,681.0370370370371,124.4074074074074,128.44444444444446
2001-08,706.3,130.76666666666668,163.76666666666668
2001-09,737.9333333333333,139.6,238.16666666666666
2001-10,748.741935483871,126.7741935483871,194.06451612903226
2001-11,704.2222222222222,119.70370370370371,170.14814814814815
2001-12,793.4666666666667,141.0,212.9
2002-01,690.7142857142857,117.78571428571429,189.10714285714286
2002-02,632.6363636363636,133.95454545454547,166.27272727272728
2002-03,779.8387096774194,148.03225806451613,147.09677419354838
2002-04,830.5,156.83333333333334,186.93333333333334
2002-05,918.258064516129,140.0,187.48387096774192
2002-06,675.1923076923077,145.8846153846154,118.5
2002-07,956.2258064516129,142.29032258064515,161.0
2002-08,854.2903225806451,145.06451612903226,175.61290322580646
2002-09,817.1333333333333,144.53333333333333,187.86666666666667
2002-10,887.1379310344828,147.13793103448276,148.24137931034483
2002-11,892.5333333333333,129.9,147.16666666666666
2002-12,727.8,113.36666666666666,135.26666666666668
2003-01,727.0322580645161,124.7741935483871,133.4516129032258
2003-02,753.64,121.0,74.56
2003-03,746.5714285714286,118.89285714285714,101.14285714285714
2003-04,800.7,132.36666666666667,97.86666666666666
2003-05,741.4516129032259,135.25806451612902,86.83870967741936
2003-06,926.6190476190476,116.38095238095238,109.0
2003-07,536.0,102.58333333333333,130.45833333333334
2003-08,592.8,103.23333333333333,115.6
2003-09,584.4,109.46666666666667,78.46666666666667
2003-10,1120.32,118.12,101.28
2003-11,1150.9285714285713,117.0,78.60714285714286
2003-12,559.0769230769231,126.0,76.42307692307692
2004-01,768.3870967741935,121.64516129032258,60.61290322580645
2004-02,555.0,110.96428571428571,75.53571428571429
2004-03,519.2857142857143,120.67857142857143,73.5
2004-04,667.3809523809524,128.42857142857142,58.714285714285715
2004-05,537.0645161290323,123.35483870967742,72.80645161290323
2004-06,605.5185185185185,110.29629629629629,63.111111111111114
2004-07,692.1290322580645,127.29032258064517,83.83870967741936
2004-08,502.0967741935484,109.38709677419355,69.74193548387096
2004-09,599.5833333333334,113.25,52.625
2004-10,496.6,106.5,73.53333333333333
2004-11,847.0333333333333,105.2,70.1
2004-12,701.7391304347826,106.69565217391305,27.347826086956523
2005-01,762.4666666666667,119.73333333333333,47.63333333333333
2005-02,606.6153846153846,126.84615384615384,45.26923076923077
2005-03,504.55172413793105,111.62068965517241,39.03448275862069
2005-04,532.9666666666667,126.63333333333334,38.733333333333334
2005-05,653.9666666666667,122.93333333333334,62.833333333333336
2005-06,598.3103448275862,112.79310344827586,56.3448275862069
2005-07,977.9677419354839,116.96774193548387,62.38709677419355
2005-08,834.6774193548387,110.6774193548387,60.483870967741936
2005-09,886.2413793103449,119.24137931034483,37.310344827586206
2005-10,435.0344827586207,128.17241379310346,13.10344827586207
2005-11,430.55555555555554,121.92592592592592,28.074074074074073
2005-12,513.0357142857143,114.39285714285714,60.857142857142854
2006-01,469.7741935483871,121.29032258064517,20.903225806451612
2006-02,375.84615384615387,106.46153846153847,5.8076923076923075
2006-03,329.0,103.36363636363636,18.772727272727273
2006-04,399.25,108.67857142857143,51.357142857142854
2006-05,418.96666666666664,118.83333333333333,36.8
2006-06,384.60714285714283,109.53571428571429,24.178571428571427
2006-07,476.17241379310343,128.27586206896552,21.79310344827586
2006-08,386.04,127.16,20.84
2006-09,436.11538461538464,126.46153846153847,22.23076923076923
2006-10,353.6333333333333,98.23333333333333,14.833333333333334
2006-11,658.2413793103449,115.65517241379311,34.93103448275862
2006-12,498.1034482758621,114.55172413793103,20.344827586206897
2007-01,403.1666666666667,117.36666666666666,29.066666666666666
2007-02,380.72727272727275,111.18181818181819,15.227272727272727
2007-03,340.8333333333333,121.23333333333333,7.066666666666666
2007-04,323.6666666666667,122.16666666666667,5.433333333333334
2007-05,380.2758620689655,120.6896551724138,20.06896551724138
2007-06,377.3,128.3,21.333333333333332
2007-07,337.3225806451613,119.83870967741936,15.096774193548388
2007-08,385.2307692307692,116.15384615384616,9.076923076923077
2007-09,366.3,126.1,4.033333333333333
2007-10,356.7,121.23333333333333,1.5666666666666667
2007-11,347.84615384615387,115.53846153846153,3.269230769230769
2007-12,382.6,121.63333333333334,17.866666666666667
2008-01,340.44827586206895,122.55172413793103,4.413793103448276
2008-02,346.68,111.52,3.32
2008-03,343.6551724137931,123.58620689655173,13.379310344827585
2008-04,354.9655172413793,124.06896551724138,3.7241379310344827
2008-05,324.3333333333333,114.62962962962963,3.4814814814814814
2008-06,351.5769230769231,117.84615384615384,5.961538461538462
2008-07,401.26666666666665,119.7,0.6333333333333333
2008-08,315.52,112.48,0.2
2008-09,291.44,112.72,1.4
2008-10,341.962962962963,112.51851851851852,3.8518518518518516
2008-11,322.4761904761905,114.0952380952381,6.666666666666667
2008-12,355.58620689655174,104.82758620689656,1.103448275862069
2009-01,339.42857142857144,114.21428571428571,1.2142857142857142
2009-02,335.9130434782609,96.47826086956522,0.9130434782608695
2009-03,323.32142857142856,91.07142857142857,0.4642857142857143
2009-04,317.03846153846155,109.5,1.4230769230769231
2009-05,310.0740740740741,97.29629629629629,2.7777777777777777
2009-06,334.17241379310343,112.65517241379311,6.517241379310345
2009-07,309.92,100.96,5.4
2009-08,312.3181818181818,101.9090909090909,0.0
2009-09,408.7,114.4,7.1
2009-10,362.6923076923077,119.76923076923077,8.153846153846153
2009-11,275.4347826086956,99.78260869565217,7.695652173913044
2009-12,333.9310344827586,111.6896551724138,16.20689655172414
2010-01,363.25,99.82142857142857,20.357142857142858
2010-02,534.48,103.92,30.08
2010-03,527.3793103448276,101.96551724137932,24.103448275862068
2010-04,410.76,111.64,11.36
2010-05,441.2068965517241,119.89655172413794,14.862068965517242
2010-06,386.8666666666667,115.86666666666666,18.8
2010-07,392.46153846153845,110.65384615384616,25.76923076923077
2010-08,567.0769230769231,122.42307692307692,32.5
2010-09,474.62068965517244,110.0,35.93103448275862
2010-10,373.4,94.3,34.333333333333336
2010-11,485.93333333333334,124.86666666666666,34.36666666666667
2010-12,454.03225806451616,121.80645161290323,24.548387096774192
2011-01,406.55172413793105,110.86206896551724,27.551724137931036
2011-02,460.8888888888889,105.55555555555556,49.0
2011-03,651.483870967742,137.61290322580646,78.64516129032258
2011-04,587.6896551724138,141.0,76.65517241379311
2011-05,626.4193548387096,122.93548387096774,58.193548387096776
2011-06,601.1666666666666,130.3,56.06666666666667
2011-07,498.35483870967744,122.35483870967742,64.51612903225806
2011-08,558.1612903225806,113.16129032258064,65.83870967741936
2011-09,716.1333333333333,109.66666666666667,120.13333333333334
2011-10,582.9333333333333,130.5,126.86666666666666
2011-11,633.2666666666667,123.96666666666667,139.06666666666666
2011-12,601.0,120.25806451612904,107.8225806451613
2012-01,712.8387096774194,114.6774193548387,92.88709677419355
2012-02,522.4827586206897,105.55172413793103,48.93103448275862
2012-03,928.5483870967741,112.0,82.30645161290323
2012-04,631.0,129.1,85.18333333333334
2012-05,662.6666666666666,143.5,100.58333333333333
2012-06,777.6,146.8,90.3
2012-07,804.0,144.48387096774192,99.87096774193549
2012-08,628.2903225806451,114.80645161290323,90.29032258064517
2012-09,600.7333333333333,128.36666666666667,88.86666666666666
2012-10,485.64516129032256,119.54838709677419,75.03225806451613
2012-11,620.7333333333333,141.2,88.41666666666667
2012-12,515.9032258064516,136.25806451612902,58.61290322580645
2013-01,592.8709677419355,135.16129032258064,97.96774193548387
2013-02,689.1071428571429,140.60714285714286,60.5
2013-03,582.0645161290323,132.4516129032258,79.70967741935483
2013-04,527.2333333333333,138.1,110.08333333333333
2013-05,811.6774193548387,148.5483870967742,122.87096774193549
2013-06,690.9642857142857,155.82142857142858,78.98214285714286
2013-07,530.8387096774194,132.2258064516129,86.1774193548387
2013-08,544.3870967741935,153.61290322580646,91.0
2013-09,521.3,141.63333333333333,54.75
2013-10,592.2258064516129,151.74193548387098,120.75806451612904
2013-11,616.2333333333333,154.5,119.8
2013-12,623.0322580645161,153.93548387096774,121.2258064516129
2014-01,746.3548387096774,148.19354838709677,121.46774193548387
2014-02,737.2142857142857,155.57142857142858,160.33928571428572
2014-03,549.1290322580645,146.16129032258064,134.93548387096774
2014-04,679.5172413793103,153.3793103448276,124.13793103448276
2014-05,621.4516129032259,145.32258064516128,114.62903225806451
2014-06,731.1666666666666,149.9,105.31666666666666
2014-07,611.4,145.03333333333333,107.33333333333333
2014-08,552.258064516129,143.5483870967742,106.58064516129032
2014-09,706.5333333333333,125.5,128.71666666666667
2014-10,569.0,150.29032258064515,91.01612903225806
2014-11,623.7,126.0,102.75
2014-12,664.9032258064516,132.8709677419355,116.45161290322581
2015-01,530.1935483870968,109.54838709677419,97.14516129032258
2015-02,551.0357142857143,126.35714285714286,68.69642857142857
2015-03,617.3870967741935,132.09677419354838,58.12903225806452
2015-04,677.1666666666666,114.36666666666666,73.95
2015-05,555.5806451612904,123.64516129032258,85.91935483870968
2015-06,717.6,128.96666666666667,71.91666666666667
2015-07,551.1290322580645,124.80645161290323,67.14516129032258
2015-08,551.0,129.0,63.04838709677419
2015-09,562.5666666666667,128.26666666666668,75.55
2015-10,497.7096774193548,119.93548387096774,61.61290322580645
2015-11,528.3333333333334,121.1,62.016666666666666
2015-12,485.61290322580646,115.51612903225806,56.08064516129032
2016-01,571.7096774193549,129.61290322580646,53.70967741935484
2016-02,474.44827586206895,125.37931034482759,56.224137931034484
2016-03,462.80645161290323,109.80645161290323,47.5
2016-04,441.17241379310343,104.93103448275862,36.91379310344828
2016-05,518.7666666666667,112.93333333333334,49.7
2016-06,450.82142857142856,114.14285714285714,17.232142857142858
2016-07,417.26666666666665,105.23333333333333,31.35
2016-08,400.0689655172414,91.24137931034483,51.741379310344826
2016-09,365.57142857142856,105.57142857142857,42.535714285714285
2016-10,357.7191011235955,107.62921348314607,29.415730337078653
2016-11,408.34831460674155,100.51685393258427,24.808988764044944
2016-12,397.8125,105.65625,12.458333333333334
2017-01,367.2857142857143,100.60714285714286,25.196428571428573
2017-02,325.2083333333333,93.375,24.770833333333332
2017-03,345.84615384615387,97.61538461538461,15.288461538461538
2017-04,445.07142857142856,88.32142857142857,31.875
2017-05,329.42857142857144,103.46428571428571,16.964285714285715
2017-06,353.875,100.125,17.9375
2017-07,445.0,93.51724137931035,17.310344827586206
2017-08,319.8965517241379,96.3103448275862,29.93103448275862
2017-09,619.68,108.08,45.74
2017-10,432.37931034482756,88.20689655172414,12.362068965517242
2017-11,345.96,97.32,6.24
2017-12,304.6666666666667,88.875,5.875
2018-01,280.57142857142856,95.0,5.214285714285714
2018-02,271.55555555555554,103.27777777777777,13.166666666666666
2018-03,269.3333333333333,93.91666666666667,3.1041666666666665
2018-04,299.3703703703704,102.44444444444444,8.24074074074074
2018-05,382.5,96.42307692307692,12.942307692307692
2018-06,274.4761904761905,100.9047619047619,17.5
2018-07,299.4347826086956,92.78260869565217,0.7608695652173914
2018-08,294.14814814814815,100.0,8.11111111111111
2018-09,343.0952380952381,105.9047619047619,3.380952380952381
2018-10,312.1304347826087,101.43478260869566,5.6521739130434785
2018-11,265.45,107.9,5.225
2018-12,319.54545454545456,94.77272727272727,3.909090909090909
2019-01,325.92,108.6,7.76
2019-02,310.55,101.0,0.275
2019-03,290.81481481481484,100.33333333333333,8.462962962962964
2019-04,287.25,99.5,9.104166666666666
2019-05,337.0357142857143,108.64285714285714,11.0
2019-06,281.23809523809524,101.85714285714286,2.2142857142857144
2019-07,314.3333333333333,101.5,0.5
2019-08,285.65,100.45,1.15
2019-09,256.0,96.78947368421052,1.5
2019-10,265.96,111.92,0.7
2019-11,271.8181818181818,102.63636363636364,0.0
2019-12,322.5,116.33333333333333,2.4166666666666665
2020-01,235.72,107.84,5.32
2020-02,306.7,114.7,0.0
2020-03,271.23809523809524,120.42857142857143,1.7619047619047619
2020-04,379.7894736842105,114.10526315789474,3.263157894736842
2020-05,267.95652173913044,94.6086956521739,0.0
2020-06,288.2608695652174,109.26086956521739,4.6521739130434785
2020-07,345.875,116.0,7.916666666666667
2020-08,269.35714285714283,100.64285714285714,8.25
2020-09,257.0833333333333,102.29166666666667,0.5416666666666666
2020-10,317.36,107.92,14.68
2020-11,532.4642857142857,121.14285714285714,28.821428571428573
2020-12,367.61538461538464,117.3076923076923,23.653846153846153
2021-01,320.125,108.66666666666667,11.166666666666666
2021-02,309.0,110.23076923076923,7.8076923076923075
2021-03,268.0,111.81818181818181,16.09090909090909
2021-04,374.85714285714283,111.89285714285714,25.785714285714285
2021-05,403.67857142857144,99.5,19.0
2021-06,386.13793103448273,110.3103448275862,23.413793103448278
2021-07,489.8333333333333,110.63333333333334,36.3
2021-08,468.7586206896552,111.48275862068965,23.82758620689655
2021-09,521.6666666666666,135.43333333333334,51.93333333333333
2021-10,534.5333333333333,120.43333333333334,35.3
2021-11,476.7,127.03333333333333,36.03333333333333
2021-12,504.1333333333333,119.8,70.23333333333333
2022-01,647.1935483870968,116.35483870967742,56.96774193548387
2022-02,524.9285714285714,112.21428571428571,65.60714285714286
2022-03,493.92857142857144,122.57142857142857,66.21428571428571
2022-04,704.3333333333334,127.66666666666667,76.43333333333334
2022-05,705.5483870967741,132.0,92.45161290322581
2022-06,593.8333333333334,129.1,71.53333333333333
2022-07,743.483870967742,138.61290322580646,93.03225806451613
2022-08,730.0645161290323,141.67741935483872,69.74193548387096
2022-09,700.7666666666667,124.46666666666667,82.23333333333333
2022-10,628.6666666666666,133.4,84.9
2022-11,625.1,137.5,65.1
2022-12,766.6666666666666,137.66666666666666,110.13333333333334
2023-01,759.3548387096774,144.83870967741936,133.3548387096774
2023-02,822.4642857142857,129.39285714285714,126.75
2023-03,870.5,139.43333333333334,105.0
